observation_id,task_id,task_version,category,workload,tags,font_id,font_family,font_size_px,margin_px,line_gap_px,width,height,patch_columns,patch_rows,patches,estimated_image_tokens,image_sha256,font_sha256,model,attempts,thread_id,latency_ms,returncode,infrastructure_failure,passed,score,response,expected_json,usage_json,instruction_sha256,payload_sha256,completed_at
reading_011:fira-sans:8px:7155a4e3f689,reading_011,1,reading_fact,noncoding,reading_comprehension;synthetic;fact;non_coding,fira-sans,Fira Sans,8,1,1,160,221,5,7,35,42.0,7155a4e3f689eb9689560ac044baad6af0d73ba9f538e16667a0d4b17123a1dc,a389cef71891df1232370fcebd7cfde5f74e741967070399adc91fd069b2094b,gpt-5.6-luna,1,01a06fe8-5fe0-74b0-8afd-3978ad7abaff,5057,0,,True,1.0,teal,"""teal""","{""cache_write_input_tokens"": 0, ""cached_input_tokens"": 12032, ""input_tokens"": 12963, ""output_tokens"": 67, ""reasoning_output_tokens"": 59}",5fb1392a947bddfb6d966e348422e4909b36f5519bbba045a3ca7014162ce6d3,cf8c58576dd796e519321a674e2a3d5310266fda3837625d8a2829310a147e5f,2026-09-05T04:51:39.367548+00:00
reading_012:fira-sans:8px:3338dcfb4684,reading_012,1,reading_date,noncoding,reading_comprehension;synthetic;date;non_coding,fira-sans,Fira Sans,8,1,1,160,221,5,7,35,42.0,3338dcfb4684f67e6aa59b7a404f058580772704976f89cb453f7f6c2ceab116,a389cef71891df1232370fcebd7cfde5f74e741967070399adc91fd069b2094b,gpt-5.6-luna,1,01a06fe8-6233-72e2-8210-e6ae527365e0,5280,0,,True,1.0,April 7,"""April 7""","{""cache_write_input_tokens"": 0, ""cached_input_tokens"": 12032, ""input_tokens"": 12961, ""output_tokens"": 92, ""reasoning_output_tokens"": 83}",f6dad4bfd185d329ce817617183fc1c1ffef67dfa65254ddd43e6d6b0b8d3f38,7b0a9e98de20ba4c9bc2df57b5de6d1d58b1c6d62eb92032bfc9b0f3a0c6f3f2,2026-09-05T04:51:40.125203+00:00
reading_013:fira-sans:8px:ddb5c9ba94a4,reading_013,1,reading_quantity,noncoding,reading_comprehension;synthetic;quantity;non_coding,fira-sans,Fira Sans,8,1,1,160,210,5,7,35,42.0,ddb5c9ba94a44c7be38707174aa965bae30013dfac8dccdc286ee408007ebfd8,a389cef71891df1232370fcebd7cfde5f74e741967070399adc91fd069b2094b,gpt-5.6-luna,1,01a06fe8-7089-7090-ab0f-4e1ceeab01ce,4533,0,,True,1.0,84,"""84""","{""cache_write_input_tokens"": 0, ""cached_input_tokens"": 8960, ""input_tokens"": 12968, ""output_tokens"": 42, ""reasoning_output_tokens"": 35}",3e3eca01ac876fd6e08855e0c82bac91ff23e76a77e80282dce5e88dbdc41177,89b79b6131ce5f5b38984d83a05d5d982c52d4b3a2ae5a32d44fa1f8e4bd0109,2026-09-05T04:51:43.475834+00:00
reading_014:fira-sans:8px:12144c354b21,reading_014,1,reading_cause,noncoding,reading_comprehension;synthetic;cause;non_coding,fira-sans,Fira Sans,8,1,1,159,221,5,7,35,42.0,12144c354b21c389a63a3d8f8410529fa285279904b34a98e4cba03eeb1e20ee,a389cef71891df1232370fcebd7cfde5f74e741967070399adc91fd069b2094b,gpt-5.6-luna,1,01a06fe8-734c-7ca1-a2d2-cb27d0960f78,25098,0,,False,0.0,Because he was dealing with a delayed delivery.,"""heavy rain delayed the outdoor work""","{""cache_write_input_tokens"": 0, ""cached_input_tokens"": 36096, ""input_tokens"": 39813, ""output_tokens"": 1094, ""reasoning_output_tokens"": 956}",3b4e783b87f37b2a73334e2a05d44810e447a98a8b2a4836886aa6a43a04d6fd,209b6479039f944664134086eaa2e763c73f50f91fb856c2651d35adbaee7493,2026-09-05T04:52:04.467030+00:00
reading_015:fira-sans:8px:7f645a17fe04,reading_015,1,reading_location,noncoding,reading_comprehension;synthetic;location;non_coding,fira-sans,Fira Sans,8,1,1,192,188,6,6,36,43.199999999999996,7f645a17fe04cd3fddd9e569aeddfb5ae6c1511b725ca5662f55425cb5504042,a389cef71891df1232370fcebd7cfde5f74e741967070399adc91fd069b2094b,gpt-5.6-luna,1,01a06fe8-75cd-7422-ac7d-6a9c30bc0e7b,5367,0,,False,0.0,The west depot,"""west depot""","{""cache_write_input_tokens"": 0, ""cached_input_tokens"": 8960, ""input_tokens"": 12963, ""output_tokens"": 71, ""reasoning_output_tokens"": 62}",e8bb532769e7792baf847206eeb18461c3ff889cd95981703f2a8990b409a779,db14de2228113b48c66328a4d050c4d6484676b84cdc319f375747fc7b804972,2026-09-05T04:51:45.290947+00:00
reading_016:fira-sans:8px:66438b9e5fc1,reading_016,1,reading_fact,noncoding,reading_comprehension;synthetic;fact;non_coding,fira-sans,Fira Sans,8,1,1,160,221,5,7,35,42.0,66438b9e5fc1d0255ea5e698392937d3524de6c59c3477f0242bbd9f66a4dc7c,a389cef71891df1232370fcebd7cfde5f74e741967070399adc91fd069b2094b,gpt-5.6-luna,1,01a06fe8-7770-7500-a788-10ddcebde477,10149,0,,True,1.0,teal,"""teal""","{""cache_write_input_tokens"": 0, ""cached_input_tokens"": 20992, ""input_tokens"": 26144, ""output_tokens"": 262, ""reasoning_output_tokens"": 192}",7c857ad0e2ee499aa6466b5aa3855c0ba45cdb03073118f00f02ecee2ff4f7b8,1a0bc0e9a7ae59409d5f5c5b14f7c144fc0a0a3d23da8982559bbaa091db1b22,2026-09-05T04:51:50.276286+00:00
reading_017:fira-sans:8px:5261429b0caf,reading_017,1,reading_date,noncoding,reading_comprehension;synthetic;date;non_coding,fira-sans,Fira Sans,8,1,1,160,221,5,7,35,42.0,5261429b0caf58a6ec816b56093c4b39c92ba57c864fe2a78ad481153b2f3c9e,a389cef71891df1232370fcebd7cfde5f74e741967070399adc91fd069b2094b,gpt-5.6-luna,1,01a06fe8-824d-7d12-817d-054705ce41b8,3784,0,,True,1.0,March 17,"""March 17""","{""cache_write_input_tokens"": 0, ""cached_input_tokens"": 8960, ""input_tokens"": 12963, ""output_tokens"": 48, ""reasoning_output_tokens"": 39}",e3c3a23fb9298f0efdbd675830f9dcba735774d639ef1bb41e608fcf7678c98e,3f266736972900d7e487c8eaeb6fd62bbc0a850e7baf60e06ad9b4d3a3d729d8,2026-09-05T04:51:47.260913+00:00
reading_018:fira-sans:8px:327659e9ae35,reading_018,1,reading_quantity,noncoding,reading_comprehension;synthetic;quantity;non_coding,fira-sans,Fira Sans,8,1,1,160,210,5,7,35,42.0,327659e9ae359c539d557b3173d1eda698dc5e28291d4e08ccc9c84430765dcb,a389cef71891df1232370fcebd7cfde5f74e741967070399adc91fd069b2094b,gpt-5.6-luna,1,01a06fe8-8917-7e61-a766-c38b93f037fa,5728,0,,False,0.0,35,"""94""","{""cache_write_input_tokens"": 0, ""cached_input_tokens"": 12032, ""input_tokens"": 12968, ""output_tokens"": 65, ""reasoning_output_tokens"": 58}",c3b56d906e420b68a46ecfaffcbf972338e43dfbd4fa372947909c890aa2b8b5,459f2477aaebead69cddefc09d5054e3b1d58760953b7f633965328aa80d9c39,2026-09-05T04:51:51.019576+00:00
reading_019:fira-sans:8px:410bb5376b3d,reading_019,1,reading_cause,noncoding,reading_comprehension;synthetic;cause;non_coding,fira-sans,Fira Sans,8,1,1,96,408,3,13,39,46.8,410bb5376b3d6d4006d13b39e2ace6263864ddfea2a64fe18a064bec58c7aaa2,a389cef71891df1232370fcebd7cfde5f74e741967070399adc91fd069b2094b,gpt-5.6-luna,1,01a06fe8-9112-7a12-9f85-8d18c2ff4821,9179,0,,False,0.0,Because the window was extended.,"""the network maintenance window was extended""","{""cache_write_input_tokens"": 0, ""cached_input_tokens"": 24064, ""input_tokens"": 26119, ""output_tokens"": 277, ""reasoning_output_tokens"": 203}",1bb7ecd8420670b07a27ecca33d790cb0c6be6f104122822e480a9a05e47b432,2e18f48d133dc05765315dc14df6fe4e61ef372e7b1f0841c88bd173347fe317,2026-09-05T04:51:56.440624+00:00
reading_020:fira-sans:8px:516fbf61038b,reading_020,1,reading_location,noncoding,reading_comprehension;synthetic;location;non_coding,fira-sans,Fira Sans,8,1,1,159,221,5,7,35,42.0,516fbf61038bec81ec0b3fb7914f9d52befd6b4f86310dc043f4b85bf2ae3e74,a389cef71891df1232370fcebd7cfde5f74e741967070399adc91fd069b2094b,gpt-5.6-luna,1,01a06fe8-9ccd-76f1-973c-09dde9e76946,6818,0,,False,0.0,The upper archive.,"""east annex""","{""cache_write_input_tokens"": 0, ""cached_input_tokens"": 8960, ""input_tokens"": 12962, ""output_tokens"": 91, ""reasoning_output_tokens"": 81}",ba6edd399fc3fc831c033a51ac3ee03c638a2cda019a757b35224a39d8160874,80a8cf806366598095050e7ae9e0ecc19ef31a76616d286dda17f71a78a7b1a9,2026-09-05T04:51:57.095127+00:00
reading_021:fira-sans:8px:b0a337c6eb5b,reading_021,1,reading_fact,noncoding,reading_comprehension;synthetic;fact;non_coding,fira-sans,Fira Sans,8,1,1,160,221,5,7,35,42.0,b0a337c6eb5b65e920553df13ed8463d2120c96c985744b7b03e6bed9a9c65ef,a389cef71891df1232370fcebd7cfde5f74e741967070399adc91fd069b2094b,gpt-5.6-luna,1,01a06fe8-9fdc-7c01-9617-349107a3f126,6946,0,,True,1.0,bronze,"""bronze""","{""cache_write_input_tokens"": 0, ""cached_input_tokens"": 24064, ""input_tokens"": 26099, ""output_tokens"": 149, ""reasoning_output_tokens"": 79}",d0174ee9911ebc6be636d40cecadfcc2d836d417f103a026d8f4e9f7ab5f51b4,c22ddf0b74d24e265de53a804d1fc63bd59ec247aaa9052dcda2dca1bd73d5d1,2026-09-05T04:51:57.967003+00:00
reading_022:fira-sans:8px:89274fdbdd9a,reading_022,1,reading_date,noncoding,reading_comprehension;synthetic;date;non_coding,fira-sans,Fira Sans,8,1,1,160,221,5,7,35,42.0,89274fdbdd9aa08cd88cae9ece449db2c157a310f023b421ffef66774c80473a,a389cef71891df1232370fcebd7cfde5f74e741967070399adc91fd069b2094b,gpt-5.6-luna,1,01a06fe8-b4de-7212-b594-c9c1464cd727,14828,0,,True,1.0,December 11,"""December 11""","{""cache_write_input_tokens"": 0, ""cached_input_tokens"": 24064, ""input_tokens"": 26189, ""output_tokens"": 409, ""reasoning_output_tokens"": 338}",513d638cf83baf7ee553109715dea54c705e7a32eacbf332605afde31dd9586e,09539c98c2187da74495353e3462b05e9a5a76366159ad8a9e8cc34cdfe6a999,2026-09-05T04:52:11.269938+00:00
reading_023:fira-sans:8px:12b962b075ff,reading_023,1,reading_quantity,noncoding,reading_comprehension;synthetic;quantity;non_coding,fira-sans,Fira Sans,8,1,1,190,188,6,6,36,43.199999999999996,12b962b075ff98cb8e6c6e0feef8e74da934b1fb058121e4e4f588ba139bebf3,a389cef71891df1232370fcebd7cfde5f74e741967070399adc91fd069b2094b,gpt-5.6-luna,1,01a06fe8-b7c6-7110-90a0-c9e114d3a405,4715,0,,True,1.0,50,"""50""","{""cache_write_input_tokens"": 0, ""cached_input_tokens"": 8960, ""input_tokens"": 12967, ""output_tokens"": 44, ""reasoning_output_tokens"": 37}",8415e3182ff8cd11ff8a02b314a7a48dd1583f714dbbb8e26fc26de80ceff5d7,58908e49ac054011121aa0642075e6361bb381dbb6e21921f99c1eebcd1a9043,2026-09-05T04:52:01.810970+00:00
reading_024:fira-sans:8px:84b4ae47e135,reading_024,1,reading_cause,noncoding,reading_comprehension;synthetic;cause;non_coding,fira-sans,Fira Sans,8,1,1,160,221,5,7,35,42.0,84b4ae47e135acfac27264e9ec6be134807057c522730c5ff85461bf3fd888e6,a389cef71891df1232370fcebd7cfde5f74e741967070399adc91fd069b2094b,gpt-5.6-luna,1,01a06fe8-bae4-77e0-ab0c-c72e004c1e31,15701,0,,False,0.0,Because the temperature sensor failed.,"""the temperature sensor failed""","{""cache_write_input_tokens"": 0, ""cached_input_tokens"": 24064, ""input_tokens"": 26137, ""output_tokens"": 534, ""reasoning_output_tokens"": 453}",62e09dfe6c4b48e92e66debb678dbd7b10267b6e4b86dbbb928377a2aae75cc4,ca7fa11ef2caa555150255be40340311ceecff4b67cbb45de4c1314294fb57fe,2026-09-05T04:52:13.668917+00:00
reading_025:fira-sans:8px:12bd53e778e0,reading_025,1,reading_location,noncoding,reading_comprehension;synthetic;location;non_coding,fira-sans,Fira Sans,8,1,1,159,221,5,7,35,42.0,12bd53e778e0b832156348481660d43fe71525128d06d9449750e35546c452d5,a389cef71891df1232370fcebd7cfde5f74e741967070399adc91fd069b2094b,gpt-5.6-luna,1,01a06fe8-c9ed-7b13-8a73-a95224b5f45c,3897,0,,False,0.0,The west depot,"""west depot""","{""cache_write_input_tokens"": 0, ""cached_input_tokens"": 11008, ""input_tokens"": 12958, ""output_tokens"": 56, ""reasoning_output_tokens"": 47}",841b19d7929bf71f158c8152d7b6716d33ada6b480185efa6d17539eec3ab0b2,8b88ef882d0cb387b92a98817a97e63a53345c5c0a5f8cff17daa8266780ba91,2026-09-05T04:52:05.708653+00:00
reading_026:fira-sans:8px:e81878288ccb,reading_026,1,reading_fact,noncoding,reading_comprehension;synthetic;fact;non_coding,fira-sans,Fira Sans,8,1,1,157,221,5,7,35,42.0,e81878288ccb9c0bc1405d79e7a0519ea6a8d9cd18353f2e49d49a47da4df39a,a389cef71891df1232370fcebd7cfde5f74e741967070399adc91fd069b2094b,gpt-5.6-luna,1,01a06fe8-d441-72b2-81f3-eb74e96153c5,4604,0,,False,0.0,Felix and Raa?,"""ochre""","{""cache_write_input_tokens"": 0, ""cached_input_tokens"": 11008, ""input_tokens"": 12961, ""output_tokens"": 88, ""reasoning_output_tokens"": 76}",b9a8d258ec6b3dd7b30a4e3f6ef6cfb2006df5a4263be9aa8151de895e50b69b,50591895b62dcd62813a18d6bc2f7aa14d56673eb0d24b7830a0fd1ed7379228,2026-09-05T04:52:09.072160+00:00
reading_027:fira-sans:8px:aaf542df2494,reading_027,1,reading_date,noncoding,reading_comprehension;synthetic;date;non_coding,fira-sans,Fira Sans,8,1,1,128,254,4,8,32,38.4,aaf542df24943f30c6b8f692e351f5884c3861b22d1ac49eb1be7909d6747ea4,a389cef71891df1232370fcebd7cfde5f74e741967070399adc91fd069b2094b,gpt-5.6-luna,1,01a06fe8-d942-7401-abc3-3924691254a8,4546,0,,True,1.0,October 9,"""October 9""","{""cache_write_input_tokens"": 0, ""cached_input_tokens"": 12032, ""input_tokens"": 12961, ""output_tokens"": 70, ""reasoning_output_tokens"": 61}",38dde077e2b8cd8b145369a95939f847f4909587dbfd7c5370eef4b5214f592a,9ab805ba58c6d245559d40ee96acb2154d5002d32258ff5a7ef7aa59978261de,2026-09-05T04:52:10.255346+00:00
reading_028:fira-sans:8px:497c4f429994,reading_028,1,reading_quantity,noncoding,reading_comprehension;synthetic;quantity;non_coding,fira-sans,Fira Sans,8,1,1,224,155,7,5,35,42.0,497c4f42999466292ad451564922d80fb269617df5375bf6af494b32f806d820,a389cef71891df1232370fcebd7cfde5f74e741967070399adc91fd069b2094b,gpt-5.6-luna,1,01a06fe8-e630-7443-b2eb-fc8646250d9a,6124,0,,True,1.0,26,"""26""","{""cache_write_input_tokens"": 0, ""cached_input_tokens"": 8960, ""input_tokens"": 12963, ""output_tokens"": 137, ""reasoning_output_tokens"": 130}",fa67102ff85af8be6fc068b189f4fefa46e602023133555e9d4904f767f695c6,a62a2ad744cec337f2711fcb778f2c89f6626a0dc3da25ee0a34bd4f19aab1f6,2026-09-05T04:52:15.197128+00:00
reading_029:fira-sans:8px:bb86d7ed682b,reading_029,1,reading_cause,noncoding,reading_comprehension;synthetic;cause;non_coding,fira-sans,Fira Sans,8,1,1,416,89,13,3,39,46.8,bb86d7ed682bce2875e9d2755b6486a188864ded90c87757803a7c147e9d7758,a389cef71891df1232370fcebd7cfde5f74e741967070399adc91fd069b2094b,gpt-5.6-luna,1,01a06fe8-eb02-71c3-956f-0da43b5bc9e8,13258,0,,False,0.0,Because the replacement key had not arrived.,"""the replacement key had not arrived""","{""cache_write_input_tokens"": 0, ""cached_input_tokens"": 36096, ""input_tokens"": 39494, ""output_tokens"": 481, ""reasoning_output_tokens"": 311}",4c066cf1495e1c585831f770e70464042dc7ddc0b18a97f7b4d92371af1bd77a,31e7adb0318f17f99a9814d1bb5fdb5eb50ae94ab18c99058f4cbc51b014f50c,2026-09-05T04:52:23.514622+00:00
reading_030:fira-sans:8px:cc4fbe290f88,reading_030,1,reading_location,noncoding,reading_comprehension;synthetic;location;non_coding,fira-sans,Fira Sans,8,1,1,191,188,6,6,36,43.199999999999996,cc4fbe290f88888499d9b8f7a854f79865fac8d4ade2214e9c062b9ba1699a58,a389cef71891df1232370fcebd7cfde5f74e741967070399adc91fd069b2094b,gpt-5.6-luna,1,01a06fe8-eefa-7aa2-88d2-ec442b797822,9127,0,,False,0.0,technical office,"""central office""","{""cache_write_input_tokens"": 0, ""cached_input_tokens"": 24064, ""input_tokens"": 26108, ""output_tokens"": 276, ""reasoning_output_tokens"": 206}",662dc780acc87062ac2c5364b5fdc644d68e135d1f09c3439cf77f5de26cc83a,580eb7ed814e463d1b1b04729ba6fc8936fa341570a21c2d0555de02009196bc,2026-09-05T04:52:20.398390+00:00
reading_031:fira-sans:8px:c4f29df7c48d,reading_031,1,reading_fact,noncoding,reading_comprehension;synthetic;fact;non_coding,fira-sans,Fira Sans,8,1,1,160,210,5,7,35,42.0,c4f29df7c48d66d6c7da314d7b3218cdc54608efd84a87157eb67805d5cad092,a389cef71891df1232370fcebd7cfde5f74e741967070399adc91fd069b2094b,gpt-5.6-luna,1,01a06fe8-f82d-7560-95df-cdb8fc864398,8555,0,,True,1.0,scarlet,"""scarlet""","{""cache_write_input_tokens"": 0, ""cached_input_tokens"": 20992, ""input_tokens"": 26098, ""output_tokens"": 239, ""reasoning_output_tokens"": 169}",73d9ceb80e0adb5465eb4964cf2b57840f321f193db1c1fdffacf239d073acd9,f1f31a5658626f3bf8d7a55b6743737f3181cc4e6af7b31596a7da7897e6f373,2026-09-05T04:52:22.225216+00:00
reading_032:fira-sans:8px:7f905f2cfd7d,reading_032,1,reading_date,noncoding,reading_comprehension;synthetic;date;non_coding,fira-sans,Fira Sans,8,1,1,253,122,8,4,32,38.4,7f905f2cfd7d25ca38ff22100386b52e555289f96e9b662340e7709356684b8f,a389cef71891df1232370fcebd7cfde5f74e741967070399adc91fd069b2094b,gpt-5.6-luna,1,01a06fe8-fe2e-7703-823d-8f993e20dde4,5909,0,,True,1.0,October 19,"""October 19""","{""cache_write_input_tokens"": 0, ""cached_input_tokens"": 12032, ""input_tokens"": 12959, ""output_tokens"": 141, ""reasoning_output_tokens"": 132}",3f2601c630aea6997c48ac2a18465f99be43c314656a32c8c63d4fe57781be76,3f266736972900d7e487c8eaeb6fd62bbc0a850e7baf60e06ad9b4d3a3d729d8,2026-09-05T04:52:21.107301+00:00
